"tax_id","parent_id","rank","tax_name","root","cellular_root","domain","below_domain","below_below_domain","superphylum","phylum","class","subclass","order","below_order","below_below_order","suborder","family","below_family","genus","species_group","species_subgroup","species","below_species"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","",""
"131567","1","cellular_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","",""
"2","131567","domain","Bacteria","1","131567","2","","","","","","","","","","","","","","","","",""
"2323","2","below_domain","unclassified Bacteria","1","131567","2","2323","","","","","","","","","","","","","","","",""
"95818","2323","below_below_domain","candidate division TM7","1","131567","2","2323","95818","","","","","","","","","","","","","","",""
"68336","2","superphylum","Bacteroidetes/Chlorobi group","1","131567","2","","","68336","","","","","","","","","","","","","",""
"201174","2","phylum","Actinobacteria","1","131567","2","","","","201174","","","","","","","","","","","","",""
"976","68336","phylum","Bacteroidetes","1","131567","2","","","68336","976","","","","","","","","","","","","",""
"1239","2","phylum","Firmicutes","1","131567","2","","","","1239","","","","","","","","","","","","",""
"32066","2","phylum","Fusobacteria","1","131567","2","","","","32066","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","","","","1224","","","","","","","","","","","","",""
"544448","2","phylum","Tenericutes","1","131567","2","","","","544448","","","","","","","","","","","","",""
"1760","201174","class","Actinobacteria (class)","1","131567","2","","","","201174","1760","","","","","","","","","","","",""
"28211","1224","class","Alphaproteobacteria","1","131567","2","","","","1224","28211","","","","","","","","","","","",""
"91061","1239","class","Bacilli","1","131567","2","","","","1239","91061","","","","","","","","","","","",""
"200643","976","class","Bacteroidia","1","131567","2","","","68336","976","200643","","","","","","","","","","","",""
"28216","1224","class","Betaproteobacteria","1","131567","2","","","","1224","28216","","","","","","","","","","","",""
"186801","1239","class","Clostridia","1","131567","2","","","","1239","186801","","","","","","","","","","","",""
"203490","32066","class","Fusobacteria (class)","1","131567","2","","","","32066","203490","","","","","","","","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","2","","","","1224","1236","","","","","","","","","","","",""
"31969","544448","class","Mollicutes","1","131567","2","","","","544448","31969","","","","","","","","","","","",""
"85003","1760","subclass","Actinobacteridae","1","131567","2","","","","201174","1760","85003","","","","","","","","","","",""
"84998","1760","subclass","Coriobacteridae","1","131567","2","","","","201174","1760","84998","","","","","","","","","","",""
"2037","85003","order","Actinomycetales","1","131567","2","","","","201174","1760","85003","2037","","","","","","","","","",""
"1385","91061","order","Bacillales","1","131567","2","","","","1239","91061","","1385","","","","","","","","","",""
"171549","200643","order","Bacteroidales","1","131567","2","","","68336","976","200643","","171549","","","","","","","","","",""
"85004","85003","order","Bifidobacteriales","1","131567","2","","","","201174","1760","85003","85004","","","","","","","","","",""
"80840","28216","order","Burkholderiales","1","131567","2","","","","1224","28216","","80840","","","","","","","","","",""
"186802","186801","order","Clostridiales","1","131567","2","","","","1239","186801","","186802","","","","","","","","","",""
"84999","84998","order","Coriobacteriales","1","131567","2","","","","201174","1760","84998","84999","","","","","","","","","",""
"91347","1236","order","Enterobacteriales","1","131567","2","","","","1224","1236","","91347","","","","","","","","","",""
"203491","203490","order","Fusobacteriales","1","131567","2","","","","32066","203490","","203491","","","","","","","","","",""
"186826","91061","order","Lactobacillales","1","131567","2","","","","1239","91061","","186826","","","","","","","","","",""
"2085","31969","order","Mycoplasmatales","1","131567","2","","","","544448","31969","","2085","","","","","","","","","",""
"72274","1236","order","Pseudomonadales","1","131567","2","","","","1224","1236","","72274","","","","","","","","","",""
"356","28211","order","Rhizobiales","1","131567","2","","","","1224","28211","","356","","","","","","","","","",""
"539002","1385","below_order","Bacillales incertae sedis","1","131567","2","","","","1239","91061","","1385","539002","","","","","","","","",""
"538999","186802","below_order","Clostridiales incertae sedis","1","131567","2","","","","1239","186801","","186802","538999","","","","","","","","",""
"539738","539002","below_below_order","Bacillales Family XI. Incertae Sedis","1","131567","2","","","","1239","91061","","1385","539002","539738","","","","","","","",""
"85005","2037","suborder","Actinomycineae","1","131567","2","","","","201174","1760","85003","2037","","","85005","","","","","","",""
"255727","84999","suborder","Coriobacterineae","1","131567","2","","","","201174","1760","84998","84999","","","255727","","","","","","",""
"85007","2037","suborder","Corynebacterineae","1","131567","2","","","","201174","1760","85003","2037","","","85007","","","","","","",""
"2049","85005","family","Actinomycetaceae","1","131567","2","","","","201174","1760","85003","2037","","","85005","2049","","","","","",""
"186827","186826","family","Aerococcaceae","1","131567","2","","","","1239","91061","","186826","","","","186827","","","","","",""
"506","80840","family","Alcaligenaceae","1","131567","2","","","","1224","28216","","80840","","","","506","","","","","",""
"815","171549","family","Bacteroidaceae","1","131567","2","","","68336","976","200643","","171549","","","","815","","","","","",""
"31953","85004","family","Bifidobacteriaceae","1","131567","2","","","","201174","1760","85003","85004","","","","31953","","","","","",""
"31979","186802","family","Clostridiaceae","1","131567","2","","","","1239","186801","","186802","","","","31979","","","","","",""
"543310","538999","family","Clostridiales Family XI. Incertae Sedis","1","131567","2","","","","1239","186801","","186802","538999","","","543310","","","","","",""
"84107","255727","family","Coriobacteriaceae","1","131567","2","","","","201174","1760","84998","84999","","","255727","84107","","","","","",""
"1653","85007","family","Corynebacteriaceae","1","131567","2","","","","201174","1760","85003","2037","","","85007","1653","","","","","",""
"543","91347","family","Enterobacteriaceae","1","131567","2","","","","1224","1236","","91347","","","","543","","","","","",""
"81852","186826","family","Enterococcaceae","1","131567","2","","","","1239","91061","","186826","","","","81852","","","","","",""
"186806","186802","family","Eubacteriaceae","1","131567","2","","","","1239","186801","","186802","","","","186806","","","","","",""
"203492","203491","family","Fusobacteriaceae","1","131567","2","","","","32066","203490","","203491","","","","203492","","","","","",""
"33958","186826","family","Lactobacillaceae","1","131567","2","","","","1239","91061","","186826","","","","33958","","","","","",""
"81850","186826","family","Leuconostocaceae","1","131567","2","","","","1239","91061","","186826","","","","81850","","","","","",""
"468","72274","family","Moraxellaceae","1","131567","2","","","","1224","1236","","72274","","","","468","","","","","",""
"2092","2085","family","Mycoplasmataceae","1","131567","2","","","","544448","31969","","2085","","","","2092","","","","","",""
"186804","186802","family","Peptostreptococcaceae","1","131567","2","","","","1239","186801","","186802","","","","186804","","","","","",""
"171551","171549","family","Porphyromonadaceae","1","131567","2","","","68336","976","200643","","171549","","","","171551","","","","","",""
"171552","171549","family","Prevotellaceae","1","131567","2","","","68336","976","200643","","171549","","","","171552","","","","","",""
"135621","72274","family","Pseudomonadaceae","1","131567","2","","","","1224","1236","","72274","","","","135621","","","","","",""
"82115","356","family","Rhizobiaceae","1","131567","2","","","","1224","28211","","356","","","","82115","","","","","",""
"90964","1385","family","Staphylococcaceae","1","131567","2","","","","1239","91061","","1385","","","","90964","","","","","",""
"1300","186826","family","Streptococcaceae","1","131567","2","","","","1239","91061","","186826","","","","1300","","","","","",""
"31977","186802","family","Veillonellaceae","1","131567","2","","","","1239","186801","","186802","","","","31977","","","","","",""
"279916","2049","below_family","Mobiluncus/Falcivibrio group","1","131567","2","","","","201174","1760","85003","2037","","","85005","2049","279916","","","","",""
"543311","543310","below_family","Parvimonas","1","131567","2","","","","1239","186801","","186802","538999","","","543310","543311","","","","",""
"227290","82115","below_family","Rhizobium/Agrobacterium group","1","131567","2","","","","1224","28211","","356","","","","82115","227290","","","","",""
"469","468","genus","Acinetobacter","1","131567","2","","","","1224","1236","","72274","","","","468","","469","","","",""
"1654","2049","genus","Actinomyces","1","131567","2","","","","201174","1760","85003","2037","","","85005","2049","","1654","","","",""
"1375","186827","genus","Aerococcus","1","131567","2","","","","1239","91061","","186826","","","","186827","","1375","","","",""
"357","227290","genus","Agrobacterium","1","131567","2","","","","1224","28211","","356","","","","82115","227290","357","","","",""
"419014","31953","genus","Alloscardovia","1","131567","2","","","","201174","1760","85003","85004","","","","31953","","419014","","","",""
"165779","543310","genus","Anaerococcus","1","131567","2","","","","1239","186801","","186802","538999","","","543310","","165779","","","",""
"1380","84107","genus","Atopobium","1","131567","2","","","","201174","1760","84998","84999","","","255727","84107","","1380","","","",""
"816","815","genus","Bacteroides","1","131567","2","","","68336","976","200643","","171549","","","","815","","816","","","",""
"1678","31953","genus","Bifidobacterium","1","131567","2","","","","201174","1760","85003","85004","","","","31953","","1678","","","",""
"1485","31979","genus","Clostridium","1","131567","2","","","","1239","186801","","186802","","","","31979","","1485","","","",""
"1716","1653","genus","Corynebacterium","1","131567","2","","","","201174","1760","85003","2037","","","85007","1653","","1716","","","",""
"39948","31977","genus","Dialister","1","131567","2","","","","1239","186801","","186802","","","","31977","","39948","","","",""
"84111","84107","genus","Eggerthella","1","131567","2","","","","201174","1760","84998","84999","","","255727","84107","","84111","","","",""
"1350","81852","genus","Enterococcus","1","131567","2","","","","1239","91061","","186826","","","","81852","","1350","","","",""
"561","543","genus","Escherichia","1","131567","2","","","","1224","1236","","91347","","","","543","","561","","","",""
"150022","543310","genus","Finegoldia","1","131567","2","","","","1239","186801","","186802","538999","","","543310","","150022","","","",""
"848","203492","genus","Fusobacterium","1","131567","2","","","","32066","203490","","203491","","","","203492","","848","","","",""
"2701","31953","genus","Gardnerella","1","131567","2","","","","201174","1760","85003","85004","","","","31953","","2701","","","",""
"1378","539738","genus","Gemella","1","131567","2","","","","1239","91061","","1385","539002","539738","","","","1378","","","",""
"1578","33958","genus","Lactobacillus","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","","","",""
"906","31977","genus","Megasphaera","1","131567","2","","","","1239","186801","","186802","","","","31977","","906","","","",""
"2050","279916","genus","Mobiluncus","1","131567","2","","","","201174","1760","85003","2037","","","85005","2049","279916","2050","","","",""
"2093","2092","genus","Mycoplasma","1","131567","2","","","","544448","31969","","2085","","","","2092","","2093","","","",""
"1253","33958","genus","Pediococcus","1","131567","2","","","","1239","91061","","186826","","","","33958","","1253","","","",""
"162289","543310","genus","Peptoniphilus","1","131567","2","","","","1239","186801","","186802","538999","","","543310","","162289","","","",""
"1257","186804","genus","Peptostreptococcus","1","131567","2","","","","1239","186801","","186802","","","","186804","","1257","","","",""
"836","171551","genus","Porphyromonas","1","131567","2","","","68336","976","200643","","171549","","","","171551","","836","","","",""
"838","171552","genus","Prevotella","1","131567","2","","","68336","976","200643","","171549","","","","171552","","838","","","",""
"286","135621","genus","Pseudomonas","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","","","",""
"113286","186806","genus","Pseudoramibacter","1","131567","2","","","","1239","186801","","186802","","","","186806","","113286","","","",""
"160674","543","genus","Raoultella","1","131567","2","","","","1224","1236","","91347","","","","543","","160674","","","",""
"168808","203492","genus","Sneathia","1","131567","2","","","","32066","203490","","203491","","","","203492","","168808","","","",""
"1279","90964","genus","Staphylococcus","1","131567","2","","","","1239","91061","","1385","","","","90964","","1279","","","",""
"1301","1300","genus","Streptococcus","1","131567","2","","","","1239","91061","","186826","","","","1300","","1301","","","",""
"40544","506","genus","Sutterella","1","131567","2","","","","1224","28216","","80840","","","","506","","40544","","","",""
"2129","2092","genus","Ureaplasma","1","131567","2","","","","544448","31969","","2085","","","","2092","","2129","","","",""
"184869","2049","genus","Varibaculum","1","131567","2","","","","201174","1760","85003","2037","","","85005","2049","","184869","","","",""
"29465","31977","genus","Veillonella","1","131567","2","","","","1239","186801","","186802","","","","31977","","29465","","","",""
"46255","81850","genus","Weissella","1","131567","2","","","","1239","91061","","186826","","","","81850","","46255","","","",""
"655183","1578","species_group","Lactobacillus casei group","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","655183","","",""
"136841","286","species_group","Pseudomonas aeruginosa group","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136841","","",""
"136843","286","species_group","Pseudomonas fluorescens group","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136843","","",""
"136845","286","species_group","Pseudomonas putida group","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136845","","",""
"136846","286","species_group","Pseudomonas stutzeri group","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136846","","",""
"671232","1301","species_group","Streptococcus anginosus group","1","131567","2","","","","1239","91061","","186826","","","","1300","","1301","671232","","",""
"578833","136846","species_subgroup","Pseudomonas stutzeri subgroup","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136846","578833","",""
"470","469","species","Acinetobacter baumannii","1","131567","2","","","","1224","1236","","72274","","","","468","","469","","","470",""
"471","469","species","Acinetobacter calcoaceticus","1","131567","2","","","","1224","1236","","72274","","","","468","","469","","","471",""
"52773","1654","species","Actinomyces meyeri","1","131567","2","","","","201174","1760","85003","2037","","","85005","2049","","1654","","","52773",""
"33007","1654","species","Actinomyces neuii","1","131567","2","","","","201174","1760","85003","2037","","","85005","2049","","1654","","","33007",""
"131110","1654","species","Actinomyces radingae","1","131567","2","","","","201174","1760","85003","2037","","","85005","2049","","1654","","","131110",""
"103621","1654","species","Actinomyces urogenitalis","1","131567","2","","","","201174","1760","85003","2037","","","85005","2049","","1654","","","103621",""
"87541","1375","species","Aerococcus christensenii","1","131567","2","","","","1239","91061","","186826","","","","186827","","1375","","","87541",""
"1377","1375","species","Aerococcus viridans","1","131567","2","","","","1239","91061","","186826","","","","186827","","1375","","","1377",""
"358","357","species","Agrobacterium tumefaciens","1","131567","2","","","","1224","28211","","356","","","","82115","227290","357","","","358",""
"419015","419014","species","Alloscardovia omnicolens","1","131567","2","","","","201174","1760","85003","85004","","","","31953","","419014","","","419015",""
"33036","165779","species","Anaerococcus tetradius","1","131567","2","","","","1239","186801","","186802","538999","","","543310","","165779","","","33036",""
"33037","165779","species","Anaerococcus vaginalis","1","131567","2","","","","1239","186801","","186802","538999","","","543310","","165779","","","33037",""
"1381","1380","species","Atopobium minutum","1","131567","2","","","","201174","1760","84998","84999","","","255727","84107","","1380","","","1381",""
"1383","1380","species","Atopobium rimae","1","131567","2","","","","201174","1760","84998","84999","","","255727","84107","","1380","","","1383",""
"82135","1380","species","Atopobium vaginae","1","131567","2","","","","201174","1760","84998","84999","","","255727","84107","","1380","","","82135",""
"186802_1","186802","species","BVAB1","1","131567","2","","","","1239","186801","","186802","","","","","","","","","186802_1",""
"186802_2","186802","species","BVAB2","1","131567","2","","","","1239","186801","","186802","","","","","","","","","186802_2",""
"186802_3","186802","species","BVAB3","1","131567","2","","","","1239","186801","","186802","","","","","","","","","186802_3",""
"820","816","species","Bacteroides uniformis","1","131567","2","","","68336","976","200643","","171549","","","","815","","816","","","820",""
"1681","1678","species","Bifidobacterium bifidum","1","131567","2","","","","201174","1760","85003","85004","","","","31953","","1678","","","1681",""
"1685","1678","species","Bifidobacterium breve","1","131567","2","","","","201174","1760","85003","85004","","","","31953","","1678","","","1685",""
"216816","1678","species","Bifidobacterium longum","1","131567","2","","","","201174","1760","85003","85004","","","","31953","","1678","","","216816",""
"1485_1","1485","species","Clostridium sp. type 1","1","131567","2","","","","1239","186801","","186802","","","","31979","","1485","","","1485_1",""
"38284","1716","species","Corynebacterium accolens","1","131567","2","","","","201174","1760","85003","2037","","","85007","1653","","1716","","","38284",""
"39948_1","39948","species","Dialister sp. type 1","1","131567","2","","","","1239","186801","","186802","","","","31977","","39948","","","39948_1",""
"39948_2","39948","species","Dialister sp. type 2","1","131567","2","","","","1239","186801","","186802","","","","31977","","39948","","","39948_2",""
"33945","1350","species","Enterococcus avium","1","131567","2","","","","1239","91061","","186826","","","","81852","","1350","","","33945",""
"1351","1350","species","Enterococcus faecalis","1","131567","2","","","","1239","91061","","186826","","","","81852","","1350","","","1351",""
"1352","1350","species","Enterococcus faecium","1","131567","2","","","","1239","91061","","186826","","","","81852","","1350","","","1352",""
"562","561","species","Escherichia coli","1","131567","2","","","","1224","1236","","91347","","","","543","","561","","","562",""
"1260","150022","species","Finegoldia magna","1","131567","2","","","","1239","186801","","186802","538999","","","543310","","150022","","","1260",""
"849","848","species","Fusobacterium gonidiaformans","1","131567","2","","","","32066","203490","","203491","","","","203492","","848","","","849",""
"851","848","species","Fusobacterium nucleatum","1","131567","2","","","","32066","203490","","203491","","","","203492","","848","","","851",""
"2702","2701","species","Gardnerella vaginalis","1","131567","2","","","","201174","1760","85003","85004","","","","31953","","2701","","","2702",""
"1582","655183","species","Lactobacillus casei","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","655183","","1582",""
"181675","1578","species","Lactobacillus coleohominis","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","","","181675",""
"47770","1578","species","Lactobacillus crispatus","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","","","47770",""
"1613","1578","species","Lactobacillus fermentum","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","","","1613",""
"1596","1578","species","Lactobacillus gasseri","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","","","1596",""
"1587","1578","species","Lactobacillus helveticus","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","","","1587",""
"147802","1578","species","Lactobacillus iners","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","","","147802",""
"109790","1578","species","Lactobacillus jensenii","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","","","109790",""
"97478","1578","species","Lactobacillus mucosae","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","","","97478",""
"47715","1578","species","Lactobacillus rhamnosus","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","","","47715",""
"1624","1578","species","Lactobacillus salivarius","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","","","1624",""
"1633","1578","species","Lactobacillus vaginalis","1","131567","2","","","","1239","91061","","186826","","","","33958","","1578","","","1633",""
"187101","168808","species","Leptotrichia amnionii","1","131567","2","","","","32066","203490","","203491","","","","203492","","168808","","","187101",""
"906_1","906","species","Megasphaera sp. type 1","1","131567","2","","","","1239","186801","","186802","","","","31977","","906","","","906_1",""
"906_2","906","species","Megasphaera sp. type 2","1","131567","2","","","","1239","186801","","186802","","","","31977","","906","","","906_2",""
"2051","2050","species","Mobiluncus curtisii","1","131567","2","","","","201174","1760","85003","2037","","","85005","2049","279916","2050","","","2051",""
"2052","2050","species","Mobiluncus mulieris","1","131567","2","","","","201174","1760","85003","2037","","","85005","2049","279916","2050","","","2052",""
"2098","2093","species","Mycoplasma hominis","1","131567","2","","","","544448","31969","","2085","","","","2092","","2093","","","2098",""
"2_1","836","species","Novel bacterial clone type 1","1","131567","2","","","68336","976","200643","","171549","","","","171551","","836","","","2_1",""
"33033","543311","species","Parvimonas micra","1","131567","2","","","","1239","186801","","186802","538999","","","543310","543311","","","","33033",""
"1254","1253","species","Pediococcus acidilactici","1","131567","2","","","","1239","91061","","186826","","","","33958","","1253","","","1254",""
"1258","162289","species","Peptoniphilus asaccharolyticus","1","131567","2","","","","1239","186801","","186802","538999","","","543310","","162289","","","1258",""
"54005","162289","species","Peptoniphilus harei","1","131567","2","","","","1239","186801","","186802","538999","","","543310","","162289","","","54005",""
"33030","162289","species","Peptoniphilus indolicus","1","131567","2","","","","1239","186801","","186802","538999","","","543310","","162289","","","33030",""
"33031","162289","species","Peptoniphilus lacrimalis","1","131567","2","","","","1239","186801","","186802","538999","","","543310","","162289","","","33031",""
"1261","1257","species","Peptostreptococcus anaerobius","1","131567","2","","","","1239","186801","","186802","","","","186804","","1257","","","1261",""
"28123","836","species","Porphyromonas asaccharolytica","1","131567","2","","","68336","976","200643","","171549","","","","171551","","836","","","28123",""
"28125","838","species","Prevotella bivia","1","131567","2","","","68336","976","200643","","171549","","","","171552","","838","","","28125",""
"28127","838","species","Prevotella buccalis","1","131567","2","","","68336","976","200643","","171549","","","","171552","","838","","","28127",""
"28130","838","species","Prevotella disiens","1","131567","2","","","68336","976","200643","","171549","","","","171552","","838","","","28130",""
"838_1","838","species","Prevotella genogroup 1","1","131567","2","","","68336","976","200643","","171549","","","","171552","","838","","","838_1",""
"838_2","838","species","Prevotella genogroup 2","1","131567","2","","","68336","976","200643","","171549","","","","171552","","838","","","838_2",""
"838_3","838","species","Prevotella genogroup 3","1","131567","2","","","68336","976","200643","","171549","","","","171552","","838","","","838_3",""
"838_4","838","species","Prevotella genogroup 4","1","131567","2","","","68336","976","200643","","171549","","","","171552","","838","","","838_4",""
"838_5","838","species","Prevotella genogroup 5","1","131567","2","","","68336","976","200643","","171549","","","","171552","","838","","","838_5",""
"838_6","838","species","Prevotella genogroup 6","1","131567","2","","","68336","976","200643","","171549","","","","171552","","838","","","838_6",""
"838_7","838","species","Prevotella genogroup 7","1","131567","2","","","68336","976","200643","","171549","","","","171552","","838","","","838_7",""
"287","136841","species","Pseudomonas aeruginosa","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136841","","287",""
"294","136843","species","Pseudomonas fluorescens","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136843","","294",""
"47880","136845","species","Pseudomonas fulva","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136845","","47880",""
"76759","136845","species","Pseudomonas monteilii","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136845","","76759",""
"78327","136845","species","Pseudomonas mosselii","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136845","","78327",""
"47885","136845","species","Pseudomonas oryzihabitans","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136845","","47885",""
"70775","136845","species","Pseudomonas plecoglossicida","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136845","","70775",""
"303","136845","species","Pseudomonas putida","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136845","","303",""
"316","578833","species","Pseudomonas stutzeri","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136846","578833","316",""
"281467","136845","species","Pseudomonas syncyanea","1","131567","2","","","","1224","1236","","72274","","","","135621","","286","136845","","281467",""
"113287","113286","species","Pseudoramibacter alactolyticus","1","131567","2","","","","1239","186801","","186802","","","","186806","","113286","","","113287",""
"575","160674","species","Raoultella planticola","1","131567","2","","","","1224","1236","","91347","","","","543","","160674","","","575",""
"40543","168808","species","Sneathia sanguinegens","1","131567","2","","","","32066","203490","","203491","","","","203492","","168808","","","40543",""
"1280","1279","species","Staphylococcus aureus","1","131567","2","","","","1239","91061","","1385","","","","90964","","1279","","","1280",""
"29388","1279","species","Staphylococcus capitis","1","131567","2","","","","1239","91061","","1385","","","","90964","","1279","","","29388",""
"1282","1279","species","Staphylococcus epidermidis","1","131567","2","","","","1239","91061","","1385","","","","90964","","1279","","","1282",""
"1283","1279","species","Staphylococcus haemolyticus","1","131567","2","","","","1239","91061","","1385","","","","90964","","1279","","","1283",""
"1290","1279","species","Staphylococcus hominis","1","131567","2","","","","1239","91061","","1385","","","","90964","","1279","","","1290",""
"28035","1279","species","Staphylococcus lugdunensis","1","131567","2","","","","1239","91061","","1385","","","","90964","","1279","","","28035",""
"1292","1279","species","Staphylococcus warneri","1","131567","2","","","","1239","91061","","1385","","","","90964","","1279","","","1292",""
"1311","1301","species","Streptococcus agalactiae","1","131567","2","","","","1239","91061","","186826","","","","1300","","1301","","","1311",""
"1328","671232","species","Streptococcus anginosus","1","131567","2","","","","1239","91061","","186826","","","","1300","","1301","671232","","1328",""
"1335","1301","species","Streptococcus equinus","1","131567","2","","","","1239","91061","","186826","","","","1300","","1301","","","1335",""
"1338","671232","species","Streptococcus intermedius","1","131567","2","","","","1239","91061","","186826","","","","1300","","1301","671232","","1338",""
"28037","1301","species","Streptococcus mitis","1","131567","2","","","","1239","91061","","186826","","","","1300","","1301","","","28037",""
"1309","1301","species","Streptococcus mutans","1","131567","2","","","","1239","91061","","186826","","","","1300","","1301","","","1309",""
"1303","1301","species","Streptococcus oralis","1","131567","2","","","","1239","91061","","186826","","","","1300","","1301","","","1303",""
"1318","1301","species","Streptococcus parasanguinis","1","131567","2","","","","1239","91061","","186826","","","","1300","","1301","","","1318",""
"1304","1301","species","Streptococcus salivarius","1","131567","2","","","","1239","91061","","186826","","","","1300","","1301","","","1304",""
"1305","1301","species","Streptococcus sanguinis","1","131567","2","","","","1239","91061","","186826","","","","1300","","1301","","","1305",""
"293545","40544","species","Sutterella morbirenis","1","131567","2","","","","1224","28216","","80840","","","","506","","40544","","","293545",""
"134821","2129","species","Ureaplasma parvum","1","131567","2","","","","544448","31969","","2085","","","","2092","","2129","","","134821",""
"2130","2129","species","Ureaplasma urealyticum","1","131567","2","","","","544448","31969","","2085","","","","2092","","2129","","","2130",""
"184870","184869","species","Varibaculum cambriense","1","131567","2","","","","201174","1760","85003","2037","","","85005","2049","","184869","","","184870",""
"1249","46255","species","Weissella paramesenteroides","1","131567","2","","","","1239","91061","","186826","","","","81850","","46255","","","1249",""
"1682","216816","below_species","Bifidobacterium longum subsp. infantis","1","131567","2","","","","201174","1760","85003","85004","","","","31953","","1678","","","216816","1682"
"1679","216816","below_species","Bifidobacterium longum subsp. longum","1","131567","2","","","","201174","1760","85003","85004","","","","31953","","1678","","","216816","1679"
